system_id,category,unit,swt,concrete_volume,steel_volume,timber_volume,depth
bison_bb_ij1,precast,metric,1.86,0.0775,0.0372,,0.25
bison_bb_ij1,precast,metric,1.86,0.0775,0.0372,,0.25
bison_bb_ij1,precast,metric,1.86,0.0775,0.0372,,0.25
bison_bb_ij1,precast,metric,1.86,0.0775,0.0372,,0.25
bison_bb_ij1,precast,metric,1.86,0.0775,0.0372,,0.25
bison_bb_ij1,precast,metric,1.86,0.0775,0.0372,,0.25
bison_bb_ij2,precast,metric,1.96,0.081666667,0.0392,,0.25
bison_bb_ij2,precast,metric,1.96,0.081666667,0.0392,,0.25
bison_bb_ij2,precast,metric,1.96,0.081666667,0.0392,,0.25
bison_bb_ij2,precast,metric,1.96,0.081666667,0.0392,,0.25
bison_bb_ij2,precast,metric,1.96,0.081666667,0.0392,,0.25
bison_bb_ij2,precast,metric,1.96,0.081666667,0.0392,,0.25
bison_bb_ij3,precast,metric,2.15,0.089583333,0.043,,0.25
bison_bb_ij3,precast,metric,2.15,0.089583333,0.043,,0.25
bison_bb_ij3,precast,metric,2.15,0.089583333,0.043,,0.25
bison_bb_ij3,precast,metric,2.15,0.089583333,0.043,,0.25
bison_bb_ij3,precast,metric,2.15,0.089583333,0.043,,0.25
bison_bb_ij3,precast,metric,2.15,0.089583333,0.043,,0.25
bison_bb_rdj4,precast,metric,2.1,0.0875,0.042,,0.25
bison_bb_rdj4,precast,metric,2.1,0.0875,0.042,,0.25
bison_bb_rdj4,precast,metric,2.1,0.0875,0.042,,0.25
bison_bb_rdj4,precast,metric,2.1,0.0875,0.042,,0.25
bison_bb_rdj4,precast,metric,2.1,0.0875,0.042,,0.25
bison_bb_rdj4,precast,metric,2.1,0.0875,0.042,,0.25
bison_bb_rdj5,precast,metric,2.25,0.09375,0.045,,0.25
bison_bb_rdj5,precast,metric,2.25,0.09375,0.045,,0.25
bison_bb_rdj5,precast,metric,2.25,0.09375,0.045,,0.25
bison_bb_rdj5,precast,metric,2.25,0.09375,0.045,,0.25
bison_bb_rdj5,precast,metric,2.25,0.09375,0.045,,0.25
bison_bb_rdj5,precast,metric,2.25,0.09375,0.045,,0.25
bison_bb_rdj6,precast,metric,2.47,0.102916667,0.0494,,0.25
bison_bb_rdj6,precast,metric,2.47,0.102916667,0.0494,,0.25
bison_bb_rdj6,precast,metric,2.47,0.102916667,0.0494,,0.25
bison_bb_rdj6,precast,metric,2.47,0.102916667,0.0494,,0.25
bison_bb_rdj6,precast,metric,2.47,0.102916667,0.0494,,0.25
bison_bb_rdj6,precast,metric,2.47,0.102916667,0.0494,,0.25
bison_bb_tj1,precast,metric,2.3,0.095833333,0.046,,0.325
bison_bb_tj1,precast,metric,2.3,0.095833333,0.046,,0.325
bison_bb_tj1,precast,metric,2.3,0.095833333,0.046,,0.325
bison_bb_tj1,precast,metric,2.3,0.095833333,0.046,,0.325
bison_bb_tj1,precast,metric,2.3,0.095833333,0.046,,0.325
bison_bb_tj1,precast,metric,2.3,0.095833333,0.046,,0.325
bison_bb_tj2,precast,metric,2.51,0.104583333,0.0502,,0.325
bison_bb_tj2,precast,metric,2.51,0.104583333,0.0502,,0.325
bison_bb_tj2,precast,metric,2.51,0.104583333,0.0502,,0.325
bison_bb_tj2,precast,metric,2.51,0.104583333,0.0502,,0.325
bison_bb_tj2,precast,metric,2.51,0.104583333,0.0502,,0.325
bison_bb_tj2,precast,metric,2.51,0.104583333,0.0502,,0.325
bison_bb_tj3,precast,metric,2.89,0.120416667,0.0578,,0.325
bison_bb_tj3,precast,metric,2.89,0.120416667,0.0578,,0.325
bison_bb_tj3,precast,metric,2.89,0.120416667,0.0578,,0.325
bison_bb_tj3,precast,metric,2.89,0.120416667,0.0578,,0.325
bison_bb_tj3,precast,metric,2.89,0.120416667,0.0578,,0.325
bison_bb_tj3,precast,metric,2.89,0.120416667,0.0578,,0.325
cemex_bb_155_a,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_a,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_a,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_a,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_a,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_a,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_b,precast,metric,2.6,0.108333333,0.052,,0.255
cemex_bb_155_b,precast,metric,2.6,0.108333333,0.052,,0.255
cemex_bb_155_b,precast,metric,2.6,0.108333333,0.052,,0.255
cemex_bb_155_b,precast,metric,2.6,0.108333333,0.052,,0.255
cemex_bb_155_b,precast,metric,2.6,0.108333333,0.052,,0.255
cemex_bb_155_b,precast,metric,2.6,0.108333333,0.052,,0.255
cemex_bb_155_c,precast,metric,2.39,0.099583333,0.0478,,0.255
cemex_bb_155_c,precast,metric,2.39,0.099583333,0.0478,,0.255
cemex_bb_155_c,precast,metric,2.39,0.099583333,0.0478,,0.255
cemex_bb_155_c,precast,metric,2.39,0.099583333,0.0478,,0.255
cemex_bb_155_c,precast,metric,2.39,0.099583333,0.0478,,0.255
cemex_bb_155_c,precast,metric,2.39,0.099583333,0.0478,,0.255
cemex_bb_155_d,precast,metric,2.57,0.107083333,0.0514,,0.255
cemex_bb_155_d,precast,metric,2.57,0.107083333,0.0514,,0.255
cemex_bb_155_d,precast,metric,2.57,0.107083333,0.0514,,0.255
cemex_bb_155_d,precast,metric,2.57,0.107083333,0.0514,,0.255
cemex_bb_155_d,precast,metric,2.57,0.107083333,0.0514,,0.255
cemex_bb_155_d,precast,metric,2.57,0.107083333,0.0514,,0.255
cemex_bb_155_e,precast,metric,2.95,0.122916667,0.059,,0.255
cemex_bb_155_e,precast,metric,2.95,0.122916667,0.059,,0.255
cemex_bb_155_e,precast,metric,2.95,0.122916667,0.059,,0.255
cemex_bb_155_e,precast,metric,2.95,0.122916667,0.059,,0.255
cemex_bb_155_e,precast,metric,2.95,0.122916667,0.059,,0.255
cemex_bb_155_e,precast,metric,2.95,0.122916667,0.059,,0.255
cemex_bb_155_1450_a,precast,metric,1.91,0.079583333,0.0382,,0.255
cemex_bb_155_1450_a,precast,metric,1.91,0.079583333,0.0382,,0.255
cemex_bb_155_1450_a,precast,metric,1.91,0.079583333,0.0382,,0.255
cemex_bb_155_1450_a,precast,metric,1.91,0.079583333,0.0382,,0.255
cemex_bb_155_1450_a,precast,metric,1.91,0.079583333,0.0382,,0.255
cemex_bb_155_1450_a,precast,metric,1.91,0.079583333,0.0382,,0.255
cemex_bb_155_1450_b,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_1450_b,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_1450_b,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_1450_b,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_1450_b,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_1450_b,precast,metric,2.28,0.095,0.0456,,0.255
cemex_bb_155_1450_c,precast,metric,2.04,0.085,0.0408,,0.255
cemex_bb_155_1450_c,precast,metric,2.04,0.085,0.0408,,0.255
cemex_bb_155_1450_c,precast,metric,2.04,0.085,0.0408,,0.255
cemex_bb_155_1450_c,precast,metric,2.04,0.085,0.0408,,0.255
cemex_bb_155_1450_c,precast,metric,2.04,0.085,0.0408,,0.255
cemex_bb_155_1450_c,precast,metric,2.04,0.085,0.0408,,0.255
cemex_bb_155_1450_d,precast,metric,2.27,0.094583333,0.0454,,0.255
cemex_bb_155_1450_d,precast,metric,2.27,0.094583333,0.0454,,0.255
cemex_bb_155_1450_d,precast,metric,2.27,0.094583333,0.0454,,0.255
cemex_bb_155_1450_d,precast,metric,2.27,0.094583333,0.0454,,0.255
cemex_bb_155_1450_d,precast,metric,2.27,0.094583333,0.0454,,0.255
cemex_bb_155_1450_d,precast,metric,2.27,0.094583333,0.0454,,0.255
cemex_bb_155_1450_e,precast,metric,2.72,0.113333333,0.0544,,0.255
cemex_bb_155_1450_e,precast,metric,2.72,0.113333333,0.0544,,0.255
cemex_bb_155_1450_e,precast,metric,2.72,0.113333333,0.0544,,0.255
cemex_bb_155_1450_e,precast,metric,2.72,0.113333333,0.0544,,0.255
cemex_bb_155_1450_e,precast,metric,2.72,0.113333333,0.0544,,0.255
cemex_bb_155_1450_e,precast,metric,2.72,0.113333333,0.0544,,0.255
cemex_bb_225_1900_a,precast,metric,2.82,0.1175,0.0564,,0.325
cemex_bb_225_1900_a,precast,metric,2.82,0.1175,0.0564,,0.325
cemex_bb_225_1900_a,precast,metric,2.82,0.1175,0.0564,,0.325
cemex_bb_225_1900_a,precast,metric,2.82,0.1175,0.0564,,0.325
cemex_bb_225_1900_a,precast,metric,2.82,0.1175,0.0564,,0.325
cemex_bb_225_1900_a,precast,metric,2.82,0.1175,0.0564,,0.325
cemex_bb_225_1900_b,precast,metric,3.5,0.145833333,0.07,,0.325
cemex_bb_225_1900_b,precast,metric,3.5,0.145833333,0.07,,0.325
cemex_bb_225_1900_b,precast,metric,3.5,0.145833333,0.07,,0.325
cemex_bb_225_1900_b,precast,metric,3.5,0.145833333,0.07,,0.325
cemex_bb_225_1900_b,precast,metric,3.5,0.145833333,0.07,,0.325
cemex_bb_225_1900_b,precast,metric,3.5,0.145833333,0.07,,0.325
cemex_bb_225_1900_c,precast,metric,3.07,0.127916667,0.0614,,0.325
cemex_bb_225_1900_c,precast,metric,3.07,0.127916667,0.0614,,0.325
cemex_bb_225_1900_c,precast,metric,3.07,0.127916667,0.0614,,0.325
cemex_bb_225_1900_c,precast,metric,3.07,0.127916667,0.0614,,0.325
cemex_bb_225_1900_c,precast,metric,3.07,0.127916667,0.0614,,0.325
cemex_bb_225_1900_c,precast,metric,3.07,0.127916667,0.0614,,0.325
cemex_bb_225_1900_d,precast,metric,3.39,0.14125,0.0678,,0.325
cemex_bb_225_1900_d,precast,metric,3.39,0.14125,0.0678,,0.325
cemex_bb_225_1900_d,precast,metric,3.39,0.14125,0.0678,,0.325
cemex_bb_225_1900_d,precast,metric,3.39,0.14125,0.0678,,0.325
cemex_bb_225_1900_d,precast,metric,3.39,0.14125,0.0678,,0.325
cemex_bb_225_1900_d,precast,metric,3.39,0.14125,0.0678,,0.325
cemex_bb_225_1900_e,precast,metric,4.13,0.172083333,0.0826,,0.325
cemex_bb_225_1900_e,precast,metric,4.13,0.172083333,0.0826,,0.325
cemex_bb_225_1900_e,precast,metric,4.13,0.172083333,0.0826,,0.325
cemex_bb_225_1900_e,precast,metric,4.13,0.172083333,0.0826,,0.325
cemex_bb_225_1900_e,precast,metric,4.13,0.172083333,0.0826,,0.325
cemex_bb_225_1900_e,precast,metric,4.13,0.172083333,0.0826,,0.325
milbank_bb_155_md,precast,metric,1.78,0.074166667,0.0356,,0.255
milbank_bb_155_md,precast,metric,1.78,0.074166667,0.0356,,0.255
