system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source
bison_bb_ij1_1,bison_bb_ij1,0.15,0.1,,,1.86,1.8,1.5,4.1,0.0775,0.0372,,concrete,pt,,,525,IJ1,
bison_bb_ij1_2,bison_bb_ij1,0.15,0.1,,,1.86,1.8,2,3.9,0.0775,0.0372,,concrete,pt,,,525,IJ1,
bison_bb_ij1_3,bison_bb_ij1,0.15,0.1,,,1.86,1.8,2.5,3.75,0.0775,0.0372,,concrete,pt,,,525,IJ1,
bison_bb_ij1_4,bison_bb_ij1,0.15,0.1,,,1.86,1.8,3,3.6,0.0775,0.0372,,concrete,pt,,,525,IJ1,
bison_bb_ij1_5,bison_bb_ij1,0.15,0.1,,,1.86,1.8,4,3.35,0.0775,0.0372,,concrete,pt,,,525,IJ1,
bison_bb_ij1_6,bison_bb_ij1,0.15,0.1,,,1.86,1.8,5,3.1,0.0775,0.0372,,concrete,pt,,,525,IJ1,
bison_bb_ij2_1,bison_bb_ij2,0.15,0.1,,,1.96,1.8,1.5,4.55,0.08166667,0.0392,,concrete,pt,,,413,IJ2,
bison_bb_ij2_2,bison_bb_ij2,0.15,0.1,,,1.96,1.8,2,4.35,0.08166667,0.0392,,concrete,pt,,,413,IJ2,
bison_bb_ij2_3,bison_bb_ij2,0.15,0.1,,,1.96,1.8,2.5,4.2,0.08166667,0.0392,,concrete,pt,,,413,IJ2,
bison_bb_ij2_4,bison_bb_ij2,0.15,0.1,,,1.96,1.8,3,4,0.08166667,0.0392,,concrete,pt,,,413,IJ2,
bison_bb_ij2_5,bison_bb_ij2,0.15,0.1,,,1.96,1.8,4,3.75,0.08166667,0.0392,,concrete,pt,,,413,IJ2,
bison_bb_ij2_6,bison_bb_ij2,0.15,0.1,,,1.96,1.8,5,3.5,0.08166667,0.0392,,concrete,pt,,,413,IJ2,
bison_bb_ij3_1,bison_bb_ij3,0.15,0.1,,,2.15,1.8,1.5,5.3,0.08958333,0.043,,concrete,pt,,,300,IJ3,
bison_bb_ij3_2,bison_bb_ij3,0.15,0.1,,,2.15,1.8,2,5.05,0.08958333,0.043,,concrete,pt,,,300,IJ3,
bison_bb_ij3_3,bison_bb_ij3,0.15,0.1,,,2.15,1.8,2.5,4.85,0.08958333,0.043,,concrete,pt,,,300,IJ3,
bison_bb_ij3_4,bison_bb_ij3,0.15,0.1,,,2.15,1.8,3,4.65,0.08958333,0.043,,concrete,pt,,,300,IJ3,
bison_bb_ij3_5,bison_bb_ij3,0.15,0.1,,,2.15,1.8,4,4.35,0.08958333,0.043,,concrete,pt,,,300,IJ3,
bison_bb_ij3_6,bison_bb_ij3,0.15,0.1,,,2.15,1.8,5,4.1,0.08958333,0.043,,concrete,pt,,,300,IJ3,
bison_bb_rdj4_1,bison_bb_rdj4,0.15,0.1,,,2.1,1.8,1.5,5.35,0.0875,0.042,,concrete,pt,,,615,RDJ4,
bison_bb_rdj4_2,bison_bb_rdj4,0.15,0.1,,,2.1,1.8,2,5.1,0.0875,0.042,,concrete,pt,,,615,RDJ4,
bison_bb_rdj4_3,bison_bb_rdj4,0.15,0.1,,,2.1,1.8,2.5,4.9,0.0875,0.042,,concrete,pt,,,615,RDJ4,
bison_bb_rdj4_4,bison_bb_rdj4,0.15,0.1,,,2.1,1.8,3,4.75,0.0875,0.042,,concrete,pt,,,615,RDJ4,
bison_bb_rdj4_5,bison_bb_rdj4,0.15,0.1,,,2.1,1.8,4,4.4,0.0875,0.042,,concrete,pt,,,615,RDJ4,
bison_bb_rdj4_6,bison_bb_rdj4,0.15,0.1,,,2.1,1.8,5,4.15,0.0875,0.042,,concrete,pt,,,615,RDJ4,
bison_bb_rdj5_1,bison_bb_rdj5,0.15,0.1,,,2.25,1.8,1.5,5.85,0.09375,0.045,,concrete,pt,,,503,RDJ5,
bison_bb_rdj5_2,bison_bb_rdj5,0.15,0.1,,,2.25,1.8,2,5.6,0.09375,0.045,,concrete,pt,,,503,RDJ5,
bison_bb_rdj5_3,bison_bb_rdj5,0.15,0.1,,,2.25,1.8,2.5,5.4,0.09375,0.045,,concrete,pt,,,503,RDJ5,
bison_bb_rdj5_4,bison_bb_rdj5,0.15,0.1,,,2.25,1.8,3,5.2,0.09375,0.045,,concrete,pt,,,503,RDJ5,
bison_bb_rdj5_5,bison_bb_rdj5,0.15,0.1,,,2.25,1.8,4,4.85,0.09375,0.045,,concrete,pt,,,503,RDJ5,
bison_bb_rdj5_6,bison_bb_rdj5,0.15,0.1,,,2.25,1.8,5,4.55,0.09375,0.045,,concrete,pt,,,503,RDJ5,
bison_bb_rdj6_1,bison_bb_rdj6,0.15,0.1,,,2.47,1.8,1.5,6.45,0.10291667,0.0494,,concrete,pt,,,390,RDJ6,
bison_bb_rdj6_2,bison_bb_rdj6,0.15,0.1,,,2.47,1.8,2,6.25,0.10291667,0.0494,,concrete,pt,,,390,RDJ6,
bison_bb_rdj6_3,bison_bb_rdj6,0.15,0.1,,,2.47,1.8,2.5,6.05,0.10291667,0.0494,,concrete,pt,,,390,RDJ6,
bison_bb_rdj6_4,bison_bb_rdj6,0.15,0.1,,,2.47,1.8,3,5.8,0.10291667,0.0494,,concrete,pt,,,390,RDJ6,
bison_bb_rdj6_5,bison_bb_rdj6,0.15,0.1,,,2.47,1.8,4,5.45,0.10291667,0.0494,,concrete,pt,,,390,RDJ6,
bison_bb_rdj6_6,bison_bb_rdj6,0.15,0.1,,,2.47,1.8,5,5.15,0.10291667,0.0494,,concrete,pt,,,390,RDJ6,
bison_bb_tj1_1,bison_bb_tj1,0.225,0.1,,,2.3,1.8,1.5,6.45,0.09583333,0.046,,concrete,pt,,,535,TJ1,
bison_bb_tj1_2,bison_bb_tj1,0.225,0.1,,,2.3,1.8,2,6.15,0.09583333,0.046,,concrete,pt,,,535,TJ1,
bison_bb_tj1_3,bison_bb_tj1,0.225,0.1,,,2.3,1.8,2.5,5.9,0.09583333,0.046,,concrete,pt,,,535,TJ1,
bison_bb_tj1_4,bison_bb_tj1,0.225,0.1,,,2.3,1.8,3,5.7,0.09583333,0.046,,concrete,pt,,,535,TJ1,
bison_bb_tj1_5,bison_bb_tj1,0.225,0.1,,,2.3,1.8,4,5.35,0.09583333,0.046,,concrete,pt,,,535,TJ1,
bison_bb_tj1_6,bison_bb_tj1,0.225,0.1,,,2.3,1.8,5,5,0.09583333,0.046,,concrete,pt,,,535,TJ1,
bison_bb_tj2_1,bison_bb_tj2,0.225,0.1,,,2.51,1.8,1.5,7.1,0.10458333,0.0502,,concrete,pt,,,422,TJ2,
bison_bb_tj2_2,bison_bb_tj2,0.225,0.1,,,2.51,1.8,2,6.8,0.10458333,0.0502,,concrete,pt,,,422,TJ2,
bison_bb_tj2_3,bison_bb_tj2,0.225,0.1,,,2.51,1.8,2.5,6.55,0.10458333,0.0502,,concrete,pt,,,422,TJ2,
bison_bb_tj2_4,bison_bb_tj2,0.225,0.1,,,2.51,1.8,3,6.35,0.10458333,0.0502,,concrete,pt,,,422,TJ2,
bison_bb_tj2_5,bison_bb_tj2,0.225,0.1,,,2.51,1.8,4,5.95,0.10458333,0.0502,,concrete,pt,,,422,TJ2,
bison_bb_tj2_6,bison_bb_tj2,0.225,0.1,,,2.51,1.8,5,5.6,0.10458333,0.0502,,concrete,pt,,,422,TJ2,
bison_bb_tj3_1,bison_bb_tj3,0.225,0.1,,,2.89,1.8,1.5,7.75,0.12041667,0.0578,,concrete,pt,,,310,TJ3,
bison_bb_tj3_2,bison_bb_tj3,0.225,0.1,,,2.89,1.8,2,7.75,0.12041667,0.0578,,concrete,pt,,,310,TJ3,
bison_bb_tj3_3,bison_bb_tj3,0.225,0.1,,,2.89,1.8,2.5,7.45,0.12041667,0.0578,,concrete,pt,,,310,TJ3,
bison_bb_tj3_4,bison_bb_tj3,0.225,0.1,,,2.89,1.8,3,7.2,0.12041667,0.0578,,concrete,pt,,,310,TJ3,
bison_bb_tj3_5,bison_bb_tj3,0.225,0.1,,,2.89,1.8,4,6.8,0.12041667,0.0578,,concrete,pt,,,310,TJ3,
bison_bb_tj3_6,bison_bb_tj3,0.225,0.1,,,2.89,1.8,5,6.4,0.12041667,0.0578,,concrete,pt,,,310,TJ3,
cemex_bb_155_a1,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,1.5,4.48,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
cemex_bb_155_a2,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,2,4.36,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
cemex_bb_155_a3,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,2.5,4.25,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
cemex_bb_155_a4,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,3,4.15,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
