component,beam_system_id,beam_category,beam_type,span_behavior,manufacturer,material_family,construction_method,section_type,beam_role,unit,beam_length,beam_width,beam_camber,beam_depth,flange_width,web_thickness,fireproofing_depth,load_capacity,moment_capacity,shear_capacity,deflection_rule,max_span,fire_rating,material_concrete_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,material_fireproofing_id,is_composite,requires_rebar,requires_pt,requires_encasement,requires_fireproofing,supports_floor_types,supports_column_types,can_be_primary,can_be_secondary,can_be_edge,directly_supports_floor,concrete_volume,steel_volume,rebar_volume,pt_volume,timber_volume,source,notes,shape_key,A_in2,d_in,bf_in,tw_in,Ix_in4,Zx_in3,Sx_in3,rx_in,Iy_in4,Zy_in3,Sy_in3,ry_in,source_standard,source_format,native_unit_system,A_mm2,d_mm,bf_mm,tw_mm,Ix_mm4,Zx_mm3,Sx_mm3,rx_mm,Iy_mm4,Zy_mm3,Sy_mm3,ry_mm,Av_mm2,shape_family,section_designation,mass_kg_m,tf_mm,r_mm,d_between_fillets_mm,A_cm2
beam,aisc_w1100x607,steel_section,W1100X607,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.341864,,3.740157,1.341864,0.101706,,2346.409229013558,11316.0,7039.227687040675,L/360,31.25436580979522,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.833127,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1100X607,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,77400.0,1140.0,409.0,31.0,16100000000.0,32800000.0,28300000.0,457.0,633000000.0,4870000.0,3100000.0,90.4,35340.0,,,,,,,
beam,aisc_w1100x548,steel_section,W1100X548,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.332021,,3.707349,1.332021,0.091535,,2093.244022725253,10177.5,6279.73206817576,L/360,30.113152924192896,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.750245,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1100X548,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,69700.0,1130.0,406.0,27.9,14400000000.0,29500000.0,25600000.0,455.0,562000000.0,4340000.0,2770000.0,89.9,31527.0,,,,,,,
beam,aisc_w1100x499,steel_section,W1100X499,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.325459,,3.674541,1.325459,0.085958,,1948.3031243965436,9142.5,5844.909373189631,L/360,29.028992892078197,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.683508,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1100X499,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,63500.0,1120.0,404.0,26.2,12900000000.0,26500000.0,23100000.0,452.0,499000000.0,3870000.0,2460000.0,88.6,29344.0,,,,,,,
beam,aisc_w1100x433,steel_section,W1100X433,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,,3.641732,1.315617,0.072178,,1621.3727609652262,7969.5,4864.118282895679,L/360,27.693301876539206,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.593091,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1100X433,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,55100.0,1110.0,401.0,22.0,11200000000.0,23100000.0,20300000.0,452.0,433000000.0,3360000.0,2160000.0,88.6,24420.0,,,,,,,
beam,aisc_w1100x390,steel_section,W1100X390,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,,3.608924,1.315617,0.065289,,1453.3927001445045,7176.0,4360.1781004335135,L/360,26.666666666666654,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.536043,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1100X390,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,49800.0,1100.0,401.0,19.9,10000000000.0,20800000.0,18200000.0,450.0,384000000.0,2980000.0,1920000.0,88.1,21890.0,,,,,,,
beam,aisc_w1100x343,steel_section,W1100X343,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,,3.576115,1.315617,0.059055,,1302.6754123725525,6210.0,3908.0262371176577,L/360,25.41799927319752,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.470383,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1100X343,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,43700.0,1090.0,401.0,18.0,8660000000.0,18000000.0,15900000.0,445.0,331000000.0,2570000.0,1660000.0,87.1,19620.0,,,,,,,
beam,aisc_w1000x976,steel_section,W1000X976,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.40748,,3.641732,1.40748,0.164042,,3684.9380931027868,17422.5,11054.81427930836,L/360,35.45341053958896,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,1.345489,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1000X976,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,125000.0,1110.0,429.0,50.0,23500000000.0,50500000.0,42500000.0,434.0,1190000000.0,8880000.0,5570000.0,98.0,55500.0,,,,,,,
beam,aisc_w1000x883,steel_section,W1000X883,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.391076,,3.576115,1.391076,0.149278,,3292.8739590528417,15594.0,9878.621877158525,L/360,34.148777732999825,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,1.205558,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1000X883,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,112000.0,1090.0,424.0,45.5,21000000000.0,45200000.0,38300000.0,432.0,1050000000.0,7880000.0,4950000.0,96.5,49595.0,,,,,,,
beam,aisc_w1000x748,steel_section,W1000X748,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.36811,,3.510499,1.36811,0.128281,,2777.779369389933,13110.0,8333.338108169799,L/360,32.01234091907914,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,1.027953,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1000X748,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,95500.0,1070.0,417.0,39.1,17300000000.0,38000000.0,32400000.0,427.0,849000000.0,6460000.0,4080000.0,94.5,41837.0,,,,,,,
beam,aisc_w1000x642,steel_section,W1000X642,,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.348425,,3.444882,1.348425,0.111549,,2370.3115301580087,11074.5,7110.934590474027,L/360,30.182698559012003,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,True,0.0,0.881564,0.0,0.0,0.0,aisc_beam_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel beam capacity basis (AISC): simply supported UDL; reference span=6 m; reference area load=7.5 kPa over tributary width=3 m; deflection=L/360; default fy=AISC 345.0 MPa; output units=kN/m, kN, kN·m, m. load_capacity = governing reference line-load capacity at the reference span; max_span = governing span under the reference line load.",W1000X642,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,81900.0,1050.0,411.0,34.0,14500000000.0,32100000.0,27700000.0,422.0,703000000.0,5370000.0,3410000.0,92.7,35700.0,,,,,,,
