column_family_id,component,column_category,column_type,manufacturer,material_family,construction_method,section_type,column_role,unit,material_concrete_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,material_fireproofing_id,is_composite,requires_rebar,requires_pt,requires_encasement,requires_fireproofing,supports_floor_types,supports_beam_types,supports_low_rise,supports_mid_rise,supports_high_rise,source,notes
aisc_w1100x607,column,steel_section,W1100X607,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1100x548,column,steel_section,W1100X548,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1100x499,column,steel_section,W1100X499,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1100x433,column,steel_section,W1100X433,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1100x390,column,steel_section,W1100X390,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1100x343,column,steel_section,W1100X343,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x976,column,steel_section,W1000X976,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x883,column,steel_section,W1000X883,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x748,column,steel_section,W1000X748,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x642,column,steel_section,W1000X642,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x591,column,steel_section,W1000X591,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x554,column,steel_section,W1000X554,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x539,column,steel_section,W1000X539,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x483,column,steel_section,W1000X483,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x443,column,steel_section,W1000X443,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x412,column,steel_section,W1000X412,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x371,column,steel_section,W1000X371,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x321,column,steel_section,W1000X321,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x296,column,steel_section,W1000X296,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x584,column,steel_section,W1000X584,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x494,column,steel_section,W1000X494,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x486,column,steel_section,W1000X486,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x438,column,steel_section,W1000X438,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x415,column,steel_section,W1000X415,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x393,column,steel_section,W1000X393,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x350,column,steel_section,W1000X350,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x314,column,steel_section,W1000X314,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x272,column,steel_section,W1000X272,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
aisc_w1000x249,column,steel_section,W1000X249,AISC,steel,hot_rolled,W,rolled_i_section,ft,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
