lateral_variant_id,lateral_family_id,wall_thickness,frame_depth,bay_width_default,core_area_ratio_default,core_perimeter_ratio_default,axial_capacity,moment_capacity,maximum_story_count,slenderness_limit,lateral_type_detail,fire_rating_variant,concrete_volume,steel_volume,rebar_volume,timber_volume,material_concrete_id,material_rebar_id,material_steel_id,material_timber_id,material_fireproofing_id,source,notes
ec_shear_wall_200x2500_1,ec_shear_wall_200x2500,200,,2500,,,,200,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_2,ec_shear_wall_200x2500,200,,2500,,,,350,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_3,ec_shear_wall_200x2500,200,,2500,,,,500,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_4,ec_shear_wall_200x2500,200,,2500,,,,200,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_5,ec_shear_wall_200x2500,200,,2500,,,,350,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_6,ec_shear_wall_200x2500,200,,2500,,,,500,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_7,ec_shear_wall_200x2500,200,,2500,,,,200,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_8,ec_shear_wall_200x2500,200,,2500,,,,350,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_9,ec_shear_wall_200x2500,200,,2500,,,,500,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
ec_shear_wall_200x2500_10,ec_shear_wall_200x2500,200,,2500,,,,200,,,shear_wall,,0.5,,0.003,,concrete,rebar,,,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
