system_variant,system_family,unit,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,screed_volume,steel_volume,rebar_volume,pt_volume,timber_volume,material_concrete_id,material_screed_id,material_pt_id,material_steel_id,material_rebar_id,material_timber_id,ebc_mm,beam_ref,source
bison_bb_ij1_1,bison_bb_ij1,metric,0.15,0.1,0.075,,1.86,1.8,1.5,4.1,0.0775,0.075,,0.002325,,,concrete,screed,,,rebar,,525.0,IJ1,
bison_bb_ij1_2,bison_bb_ij1,metric,0.15,0.1,0.075,,1.86,1.8,2.0,3.9,0.0775,0.075,,0.002325,,,concrete,screed,,,rebar,,525.0,IJ1,
bison_bb_ij1_3,bison_bb_ij1,metric,0.15,0.1,0.075,,1.86,1.8,2.5,3.75,0.0775,0.075,,0.002325,,,concrete,screed,,,rebar,,525.0,IJ1,
bison_bb_ij1_4,bison_bb_ij1,metric,0.15,0.1,0.075,,1.86,1.8,3.0,3.6,0.0775,0.075,,0.002325,,,concrete,screed,,,rebar,,525.0,IJ1,
bison_bb_ij1_5,bison_bb_ij1,metric,0.15,0.1,0.075,,1.86,1.8,4.0,3.35,0.0775,0.075,,0.002325,,,concrete,screed,,,rebar,,525.0,IJ1,
bison_bb_ij1_6,bison_bb_ij1,metric,0.15,0.1,0.075,,1.86,1.8,5.0,3.1,0.0775,0.075,,0.002325,,,concrete,screed,,,rebar,,525.0,IJ1,
bison_bb_ij2_1,bison_bb_ij2,metric,0.15,0.1,0.075,,1.96,1.8,1.5,4.55,0.08166667,0.075,,0.00245,,,concrete,screed,,,rebar,,413.0,IJ2,
bison_bb_ij2_2,bison_bb_ij2,metric,0.15,0.1,0.075,,1.96,1.8,2.0,4.35,0.08166667,0.075,,0.00245,,,concrete,screed,,,rebar,,413.0,IJ2,
bison_bb_ij2_3,bison_bb_ij2,metric,0.15,0.1,0.075,,1.96,1.8,2.5,4.2,0.08166667,0.075,,0.00245,,,concrete,screed,,,rebar,,413.0,IJ2,
bison_bb_ij2_4,bison_bb_ij2,metric,0.15,0.1,0.075,,1.96,1.8,3.0,4.0,0.08166667,0.075,,0.00245,,,concrete,screed,,,rebar,,413.0,IJ2,
