material_id,family,standard_grade,concrete_f_ck,steel_fy,steel_fu,timber_fm,timber_e,density,unit,ec_a1a3_volumetric,ec_a1a3_mass,ec_a4_ton_km,transport_distance,ec_a4_volumetric,ec_a4_mass,ec_a5_volumetric,ec_a5_mass,cost_volumetric,cost_mass
concrete,concrete,,40.0,,,,,2400.0,metric,196.0,0.081666667,0.06,50.0,,,,0.005,120.0,0.05
concrete_3000psi,concrete,,3000.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
concrete_3500psi,concrete,,3500.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
concrete_4000psi,concrete,,4000.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
concrete_4500psi,concrete,,4500.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
concrete_5000psi,concrete,,5000.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
concrete_5500psi,concrete,,5500.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
concrete_6000psi,concrete,,6000.0,,,,,145.0,imperial,196.0,0.08441,0.06,50.0,,,,0.005,120.0,0.05
screed,concrete,,40.0,,,,,2000.0,metric,300.0,0.15,0.06,50.0,,,,0.005,120.0,0.06
pt,steel,,,1670.0,1860.0,,,7850.0,metric,19625.0,2.5,0.06,200.0,,,,0.02,0.000318471,2.5
steel,steel,,,255.0,410.0,,,7850.0,metric,3981.52,0.5072,0.06,200.0,,,,0.02,0.000254777,2.0
rebar,steel,,,500.0,575.0,,,7850.0,metric,6044.5,0.77,0.06,200.0,,,,0.02,0.000254777,2.0
rebar_50ksi,steel,,,50.0,75.0,,,490.0,imperial,3981.52,0.5072,0.06,200.0,,,,0.02,0.000254777,2.0
rebar_60ksi,steel,,,60.0,90.0,,,490.0,imperial,3981.52,0.5072,0.06,200.0,,,,0.02,0.000254777,2.0
us_nw_concrete,concrete,,3000.0,,,,,145.0,imperial,319.368,0.138,0.06,50.0,,,,0.005,116.134,0.05
us_lw_concrete,concrete,,3000.0,,,,,110.0,imperial,242.275,0.138,0.06,50.0,,,,0.005,88.1,0.05
us_steel_22,steel,,,50.0,75.0,,,490.0,imperial,15698.0,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
us_steel_20,steel,,,50.0,75.0,,,490.0,imperial,15698.0,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
us_steel_19,steel,,,50.0,75.0,,,490.0,imperial,15698.0,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
us_steel_18,steel,,,50.0,75.0,,,490.0,imperial,15698.0,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
us_steel_16,steel,,,50.0,75.0,,,490.0,imperial,15698.0,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
eu_steel_1.0,steel,,,255.0,410.0,,,7850.0,metric,,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
eu_steel_0.9,steel,,,255.0,410.0,,,7850.0,metric,,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
eu_steel_1.2,steel,,,255.0,410.0,,,7850.0,metric,,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
eu_steel_1.25,steel,,,255.0,410.0,,,7850.0,metric,,2.0,0.06,200.0,,,,0.02,0.000254777,2.0
pc_fpmccann,concrete,,41.369,,,,,2402.77,metric,360.0,0.15,0.06,100.0,,,,0.005,180.0,0.075
pc_creagh,concrete,,41.369,,,,,2402.77,metric,360.0,0.15,0.06,100.0,,,,0.005,180.0,0.075
pc_coreslab_orlando,concrete,,41.369,,,,,150.0,imperial,360.0,0.06804,0.06,100.0,,,,0.005,180.0,0.075
pc_bison,concrete,,41.369,,,,,2402.77,metric,360.0,0.15,0.06,100.0,,,,0.005,180.0,0.075
klh_clt,timber,,,,,24.0,12000.0,480.0,metric,74.8,0.155833333,0.06,600.0,63.4,0.132083333,10.9,0.022708333,,
klh_clt_total,timber,,,,,24.0,12000.0,480.0,metric,-686.0,-1.429166667,0.06,600.0,63.5,0.132291667,10.9,0.022708333,0.0,0.0
kerto_lvl,timber,,,,,32.0,10500.0,510.0,metric,280.0,0.549019608,0.06,600.0,19.8,0.038823529,37.5,0.073529412,0.0,0.0
kerto_lvl_biogenic,timber,,,,,32.0,10500.0,510.0,metric,-382.0,-0.749019608,0.06,600.0,19.8,0.038823529,20.3,0.039803922,0.0,0.0
tata_rebar_500,steel,Fe500,,500.0,550.0,,,7850.0,metric,21408.206,2.72716,,,,,,,,
tata_rebar_550,steel,Fe550D,,550.0,605.0,,,7850.0,metric,21408.206,2.72716,,,,,,,,
tata_rebar_600,steel,Fe600,,600.0,660.0,,,7850.0,metric,21408.206,2.72716,,,,,,,,
be_rebar_500,steel,K500C-T,,500.0,,,,7850.0,metric,2799.00385,0.356561,,,59.817,0.00762,,,,
be_rebar_250,steel,SS250S,,250.0,,,,7850.0,metric,2799.00385,0.356561,,,59.817,0.00762,,,,
riva_rebar_500A,steel,B500-A,,500.0,525.0,,,7850.0,metric,3981.52,0.5072,,,,,,,,
riva_rebar_500B,steel,B500-B,,500.0,550.0,,,7850.0,metric,3981.52,0.5072,,,,,,,,
riva_rebar_500C,steel,B500-C,,500.0,575.0,,,7850.0,metric,3981.52,0.5072,,,,,,,,
crsi_rebar_250,steel,,,36.3,59.5,,,490.0,imperial,6703.0,0.854,,,,,,,,
crsi_rebar_300,steel,,,43.5,65.3,,,490.0,imperial,6703.0,0.854,,,,,,,,
crsi_rebar_350,steel,,,50.8,76.1,,,490.0,imperial,6703.0,0.854,,,,,,,,
crsi_rebar_400,steel,,,58.0,87.0,,,490.0,imperial,6703.0,0.854,,,,,,,,
crsi_rebar_450,steel,,,65.3,97.9,,,490.0,imperial,6703.0,0.854,,,,,,,,
crsi_rebar_500,steel,,,72.5,108.8,,,490.0,imperial,6703.0,0.854,,,,,,,,
crsi_rebar_550,steel,,,79.8,114.6,,,490.0,imperial,6703.0,0.854,,,,,,,,
sdi_rebar,steel,,,,,,,7800.0,metric,6708.0,0.86,,,,,,,,
fiber,steel,,,500.0,575.0,,,7850.0,metric,3981.52,0.5072,0.06,200.0,,,,0.02,0.000254777,2.0
ec_lvl,timber,,,,,32.0,10500.0,513.0,metric,139.0,0.270955166,0.092,,55.0,0.107212476,,,,
ec_lvl_biogenic,timber,,,,,32.0,10500.0,513.0,metric,-616.0,-1.200779727,0.092,,55.0,0.107212476,,,,
ec_clt,timber,,,,,24.0,12000.0,471.0,metric,98.0,0.208067941,0.092,,54.0,0.114649682,,,,
ec_clt_biogenic,timber,,,,,24.0,12000.0,471.0,metric,-665.0,-1.411889597,0.092,,54.0,0.114649682,,,,
ec_glulam,timber,,,,,26.0,11300.0,468.0,metric,273.0,0.583333333,0.092,,61.0,0.13034188,,,,
ec_glulam_biogeni,timber,,,,,26.0,11300.0,468.0,metric,-532.0,-1.136752137,0.092,,61.0,0.13034188,,,,
stora_enso_lvl,timber,,,,,,,510.0,metric,121.0,0.237254902,,614.0,272.0,0.533333333,6.08,0.011921569,,
stora_enso_lvl_biogenic,timber,,,,,,,510.0,metric,-815.0,-1.598039216,,614.0,0.0108,2.12e-05,0.00075,1.47e-06,,
lilleheden_glulam,timber,,,,,,,430.0,metric,122.0,0.28372093,,,,,,,,
lilleheden_glulam_biogenic,timber,,,,,,,430.0,metric,-556.0,-1.293023256,,,,,,,,
hasslacher_glulam,timber,,,,,27.25,13075.0,470.0,metric,84.5,0.179787234,,,,,,,,
hasslacher_glulam_biogenic,timber,,,,,27.25,13075.0,470.0,metric,-662.0,-1.408510638,,,,,,,,
hasslacher_clt,timber,,,,,22.75,13200.0,470.0,metric,93.0,0.19787234,,,,,,,,
hasslacher_clt_biogenic,timber,,,,,22.75,13200.0,470.0,metric,-660.0,-1.404255319,,,,,,,,
steico_lvl,,,,,,,,550.0,metric,-531.2,-0.965818182,,,,,18.6,0.033818182,,
fireproofing,other,,,,,,,1350.0,m3,9450.0,7.0,,,,,,,,
