component,column_system_id,column_category,column_type,manufacturer,material_family,construction_method,section_type,column_role,unit,column_height,column_width,column_depth,axial_capacity,moment_capacity,maximum_story_count,slenderness_limit,fire_rating,material_concrete_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,material_fireproofing_id,is_composite,requires_rebar,requires_pt,requires_encasement,requires_fireproofing,supports_floor_types,supports_beam_types,supports_low_rise,supports_mid_rise,supports_high_rise,concrete_volume,steel_volume,fireproofing_volume,rebar_volume,pt_volume,timber_volume,source,notes
column,aisc_w1100x607,steel_section,W1100X607,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.341864,3.740157,24032.7,1680.15,16.0218,38.716814159292035,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.833127,0.166625,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1100x548,steel_section,W1100X548,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.332021,3.707349,21641.85,1497.3,14.4279,38.93214683,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.750245,0.150049,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1100x499,steel_section,W1100X499,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.325459,3.674541,19716.75,1335.15,13.1445,39.503386004514674,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.683508,0.136702,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1100x433,steel_section,W1100X433,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.641732,17108.55,1159.2,11.4057,39.503386004514674,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.593091,0.118618,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1100x390,steel_section,W1100X390,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.608924,15462.9,1028.1,10.3086,39.72758229284904,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.536043,0.107209,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1100x343,steel_section,W1100X343,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.576115,13568.85,886.65,9.0459,40.18369690011481,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.470383,0.094077,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1000x976,steel_section,W1000X976,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.40748,3.641732,38812.5,3063.6,25.875,35.714285714285715,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,1.345489,0.269098,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1000x883,steel_section,W1000X883,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.391076,3.576115,34776.0,2718.6,23.184,36.26943005181347,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,1.205558,0.241112,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1000x748,steel_section,W1000X748,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.36811,3.510499,29652.75,2228.7,19.7685,37.03703703703704,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,1.027953,0.205591,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1000x642,steel_section,W1000X642,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.348425,3.444882,25429.95,1852.65,16.953300000000002,37.75620280474649,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.881564,0.176313,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
column,aisc_w1000x591,steel_section,W1000X591,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.341864,3.412073,23442.75,1697.4,15.6285,37.83783783783784,,,,,us_steel_20,,fireproofing,False,False,False,False,True,,,True,True,True,0.0,0.812675,0.162535,0.0,0.0,0.0,aisc_column_sections_edac.csv,Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.
