component,system_id,category,type,span_behavior,manufacturer,unit,length,width,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,material_concrete_id,material_screed_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,concrete_volume,screed_volume,steel_volume,rebar_volume,pt_volume,timber_volume,source
floor,bison_bb_ij1,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.86,1.8,1.5,4.1,concrete,screed,,rebar,,,525,IJ1,0.0775,0.075,,0.002325,,,
floor,bison_bb_ij1,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.86,1.8,2,3.9,concrete,screed,,rebar,,,525,IJ1,0.0775,0.075,,0.002325,,,
floor,bison_bb_ij1,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.86,1.8,2.5,3.75,concrete,screed,,rebar,,,525,IJ1,0.0775,0.075,,0.002325,,,
floor,bison_bb_ij1,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.86,1.8,3,3.6,concrete,screed,,rebar,,,525,IJ1,0.0775,0.075,,0.002325,,,
floor,bison_bb_ij1,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.86,1.8,4,3.35,concrete,screed,,rebar,,,525,IJ1,0.0775,0.075,,0.002325,,,
floor,bison_bb_ij1,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.86,1.8,5,3.1,concrete,screed,,rebar,,,525,IJ1,0.0775,0.075,,0.002325,,,
floor,bison_bb_ij2,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.96,1.8,1.5,4.55,concrete,screed,,rebar,,,413,IJ2,0.08166667,0.075,,0.00245,,,
floor,bison_bb_ij2,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.96,1.8,2,4.35,concrete,screed,,rebar,,,413,IJ2,0.08166667,0.075,,0.00245,,,
floor,bison_bb_ij2,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.96,1.8,2.5,4.2,concrete,screed,,rebar,,,413,IJ2,0.08166667,0.075,,0.00245,,,
floor,bison_bb_ij2,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.96,1.8,3,4,concrete,screed,,rebar,,,413,IJ2,0.08166667,0.075,,0.00245,,,
floor,bison_bb_ij2,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.96,1.8,4,3.75,concrete,screed,,rebar,,,413,IJ2,0.08166667,0.075,,0.00245,,,
floor,bison_bb_ij2,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,1.96,1.8,5,3.5,concrete,screed,,rebar,,,413,IJ2,0.08166667,0.075,,0.00245,,,
floor,bison_bb_ij3,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,2.15,1.8,1.5,5.3,concrete,screed,,rebar,,,300,IJ3,0.08958333,0.075,,0.0026875,,,
floor,bison_bb_ij3,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,2.15,1.8,2,5.05,concrete,screed,,rebar,,,300,IJ3,0.08958333,0.075,,0.0026875,,,
floor,bison_bb_ij3,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,2.15,1.8,2.5,4.85,concrete,screed,,rebar,,,300,IJ3,0.08958333,0.075,,0.0026875,,,
floor,bison_bb_ij3,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,2.15,1.8,3,4.65,concrete,screed,,rebar,,,300,IJ3,0.08958333,0.075,,0.0026875,,,
floor,bison_bb_ij3,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,2.15,1.8,4,4.35,concrete,screed,,rebar,,,300,IJ3,0.08958333,0.075,,0.0026875,,,
floor,bison_bb_ij3,precast,beam_block,one-way,bison,metric,,0.125,0.15,0.1,0.075,,2.15,1.8,5,4.1,concrete,screed,,rebar,,,300,IJ3,0.08958333,0.075,,0.0026875,,,
floor,bison_bb_rdj4,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.1,1.8,1.5,5.35,concrete,screed,,rebar,,,615,RDJ4,0.0875,0.075,,0.002625,,,
floor,bison_bb_rdj4,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.1,1.8,2,5.1,concrete,screed,,rebar,,,615,RDJ4,0.0875,0.075,,0.002625,,,
